trt	ano	mes	recebidos
10	2005	6	1586
11	2005	6	711
12	2005	6	1788
13	2005	6	576
14	2005	6	248
15	2005	6	6366
16	2005	6	738
17	2005	6	942
18	2005	6	1127
19	2005	6	427
20	2005	6	440
21	2005	6	603
22	2005	6	451
23	2005	6	287
24	2005	6	452
1	2005	7	7782
2	2005	7	9707
3	2005	7	4535
4	2005	7	4489
5	2005	7	3011
6	2005	7	1475
7	2005	7	615
8	2005	7	706
9	2005	7	3272
10	2005	7	1552
11	2005	7	747
12	2005	7	1550
13	2005	7	571
14	2005	7	180
15	2005	7	6700
16	2005	7	769
17	2005	7	845
18	2005	7	916
19	2005	7	476
20	2005	7	336
21	2005	7	491
22	2005	7	294
23	2005	7	346
24	2005	7	294
1	2005	8	6623
2	2005	8	10016
3	2005	8	5357
4	2005	8	4361
5	2005	8	3416
6	2005	8	1809
7	2005	8	660
8	2005	8	776
9	2005	8	3656
10	2005	8	1406
11	2005	8	814
12	2005	8	1649
13	2005	8	657
14	2005	8	172
15	2005	8	5853
16	2005	8	918
17	2005	8	894
18	2005	8	913
19	2005	8	460
20	2005	8	416
21	2005	8	614
22	2005	8	459
23	2005	8	458
24	2005	8	425
1	2005	9	6794
2	2005	9	10146
3	2005	9	4974
4	2005	9	4414
5	2005	9	3036
6	2005	9	2020
7	2005	9	601
8	2005	9	959
9	2005	9	2982
10	2005	9	1357
11	2005	9	780
12	2005	9	1473
13	2005	9	566
14	2005	9	212
15	2005	9	5379
16	2005	9	821
17	2005	9	828
18	2005	9	937
19	2005	9	496
20	2005	9	371
21	2005	9	707
22	2005	9	513
23	2005	9	422
24	2005	9	489
1	2005	10	5303
2	2005	10	8777
3	2005	10	4285
4	2005	10	3943
5	2005	10	1363
6	2005	10	1478
7	2005	10	876
8	2005	10	928
9	2005	10	3300
10	2005	10	1153
11	2005	10	624
12	2005	10	1409
13	2005	10	380
14	2005	10	156
15	2005	10	5314
16	2005	10	726
17	2005	10	1054
18	2005	10	774
19	2005	10	517
20	2005	10	263
21	2005	10	545
22	2005	10	448
23	2005	10	398
24	2005	10	296
1	2005	11	6685
2	2005	11	9037
3	2005	11	4451
4	2005	11	3232
5	2005	11	2592
6	2005	11	1094
7	2005	11	656
8	2005	11	912
9	2005	11	2969
10	2005	11	938
11	2005	11	707
12	2005	11	1280
13	2005	11	669
14	2005	11	294
15	2005	11	6102
16	2005	11	837
17	2005	11	905
18	2005	11	771
19	2005	11	457
20	2005	11	284
21	2005	11	495
22	2005	11	507
23	2005	11	463
24	2005	11	345
1	2005	12	3420
2	2005	12	6048
3	2005	12	3313
4	2005	12	3362
5	2005	12	803
6	2005	12	1077
7	2005	12	336
8	2005	12	533
9	2005	12	1640
10	2005	12	790
11	2005	12	262
12	2005	12	1008
13	2005	12	350
14	2005	12	107
15	2005	12	3453
16	2005	12	367
17	2005	12	633
18	2005	12	498
19	2005	12	234
20	2005	12	221
21	2005	12	406
22	2005	12	225
23	2005	12	254
24	2005	12	260
1	2006	1	3543
2	2006	1	6537
3	2006	1	2756
4	2006	1	2652
5	2006	1	2115
6	2006	1	1270
7	2006	1	538
8	2006	1	738
9	2006	1	2042
10	2006	1	697
11	2006	1	607
12	2006	1	1110
13	2006	1	465
14	2006	1	144
15	2006	1	4555
16	2006	1	456
17	2006	1	873
18	2006	1	623
19	2006	1	556
20	2006	1	281
21	2006	1	251
22	2006	1	413
23	2006	1	393
24	2006	1	207
1	2006	2	5485
2	2006	2	8436
3	2006	2	4454
4	2006	2	3084
5	2006	2	2180
6	2006	2	1294
7	2006	2	823
8	2006	2	744
9	2006	2	2893
10	2006	2	1018
11	2006	2	751
12	2006	2	1296
13	2006	2	460
14	2006	2	106
15	2006	2	4449
16	2006	2	727
17	2006	2	988
18	2006	2	602
19	2006	2	395
20	2006	2	318
21	2006	2	519
22	2006	2	476
23	2006	2	363
24	2006	2	290
1	2006	3	913
2	2006	3	9820
3	2006	3	5472
4	2006	3	4834
5	2006	3	2963
6	2006	3	1659
7	2006	3	507
8	2006	3	1001
9	2006	3	3371
10	2006	3	1268
11	2006	3	910
12	2006	3	1611
13	2006	3	717
14	2006	3	185
15	2006	3	5922
16	2006	3	758
17	2006	3	1098
18	2006	3	1027
19	2006	3	429
20	2006	3	329
21	2006	3	519
22	2006	3	518
23	2006	3	536
24	2006	3	487
1	2006	4	5964
2	2006	4	7848
3	2006	4	3952
4	2006	4	3710
5	2006	4	2355
6	2006	4	952
7	2006	4	321
8	2006	4	700
9	2006	4	2508
10	2006	4	919
11	2006	4	685
12	2006	4	1256
13	2006	4	509
14	2006	4	184
15	2006	4	4662
16	2006	4	530
17	2006	4	848
18	2006	4	802
19	2006	4	273
20	2006	4	505
21	2006	4	447
22	2006	4	327
23	2006	4	417
24	2006	4	345
1	2006	5	6912
2	2006	5	8239
3	2006	5	5614
4	2006	5	3962
5	2006	5	2687
6	2006	5	1550
7	2006	5	646
8	2006	5	810
9	2006	5	3089
10	2006	5	1306
11	2006	5	1003
12	2006	5	1866
13	2006	5	609
14	2006	5	363
